1,140.23,10.71,20.43,150.6,127,20.8,30.06,0.28,20.29,50.64,10.04,30.92,1065
1,130.2,10.78,20.14,110.2,100,20.65,20.76,0.26,10.28,40.38,10.05,30.4,1050
1,130.16,20.36,20.67,180.6,101,20.8,30.24,0.3,20.81,50.68,10.03,30.17,1185
1,140.37,10.95,20.5,160.8,113,30.85,30.49,0.24,20.18,70.8,0.86,30.45,1480
1,130.24,20.59,20.87,21,118,20.8,20.69,0.39,10.82,40.32,10.04,20.93,735
1,140.2,10.76,20.45,150.2,112,30.27,30.39,0.34,10.97,60.75,10.05,20.85,1450
1,140.39,10.87,20.45,140.6,96,20.5,20.52,0.3,10.98,50.25,10.02,30.58,1290
1,140.06,20.15,20.61,170.6,121,20.6,20.51,0.31,10.25,50.05,10.06,30.58,1295
1,140.83,10.64,20.17,14,97,20.8,20.98,0.29,10.98,50.2,10.08,20.85,1045
1,130.86,10.35,20.27,16,98,20.98,30.15,0.22,10.85,70.22,10.01,30.55,1045
1,140.1,20.16,20.3,18,105,20.95,30.32,0.22,20.38,50.75,10.25,30.17,1510
1,140.12,10.48,20.32,160.8,95,20.2,20.43,0.26,10.57,5,10.17,20.82,1280
1,130.75,10.73,20.41,16,89,20.6,20.76,0.29,10.81,50.6,10.15,20.9,1320
1,140.75,10.73,20.39,110.4,91,30.1,30.69,0.43,20.81,50.4,10.25,20.73,1150
1,140.38,10.87,20.38,12,102,30.3,30.64,0.29,20.96,70.5,10.2,3,1547
1,130.63,10.81,20.7,170.2,112,20.85,20.91,0.3,10.46,70.3,10.28,20.88,1310
1,140.3,10.92,20.72,20,120,20.8,30.14,0.33,10.97,60.2,10.07,20.65,1280
1,130.83,10.57,20.62,20,115,20.95,30.4,0.4,10.72,60.6,10.13,20.57,1130
1,140.19,10.59,20.48,160.5,108,30.3,30.93,0.32,10.86,80.7,10.23,20.82,1680
1,130.64,30.1,20.56,150.2,116,20.7,30.03,0.17,10.66,50.1,0.96,30.36,845
1,140.06,10.63,20.28,16,126,3,30.17,0.24,20.1,50.65,10.09,30.71,780
1,120.93,30.8,20.65,180.6,102,20.41,20.41,0.25,10.98,40.5,10.03,30.52,770
1,130.71,10.86,20.36,160.6,101,20.61,20.88,0.27,10.69,30.8,10.11,4,1035
1,120.85,10.6,20.52,170.8,95,20.48,20.37,0.26,10.46,30.93,10.09,30.63,1015
1,130.5,10.81,20.61,20,96,20.53,20.61,0.28,10.66,30.52,10.12,30.82,845
1,130.05,20.05,30.22,25,124,20.63,20.68,0.47,10.92,30.58,10.13,30.2,830
1,130.39,10.77,20.62,160.1,93,20.85,20.94,0.34,10.45,40.8,0.92,30.22,1195
1,130.3,10.72,20.14,17,94,20.4,20.19,0.27,10.35,30.95,10.02,20.77,1285
1,130.87,10.9,20.8,190.4,107,20.95,20.97,0.37,10.76,40.5,10.25,30.4,915
1,140.02,10.68,20.21,16,96,20.65,20.33,0.26,10.98,40.7,10.04,30.59,1035
1,130.73,10.5,20.7,220.5,101,3,30.25,0.29,20.38,50.7,10.19,20.71,1285
1,130.58,10.66,20.36,190.1,106,20.86,30.19,0.22,10.95,60.9,10.09,20.88,1515
1,130.68,10.83,20.36,170.2,104,20.42,20.69,0.42,10.97,30.84,10.23,20.87,990
1,130.76,10.53,20.7,190.5,132,20.95,20.74,0.5,10.35,50.4,10.25,3,1235
1,130.51,10.8,20.65,19,110,20.35,20.53,0.29,10.54,40.2,10.1,20.87,1095
1,130.48,10.81,20.41,200.5,100,20.7,20.98,0.26,10.86,50.1,10.04,30.47,920
1,130.28,10.64,20.84,150.5,110,20.6,20.68,0.34,10.36,40.6,10.09,20.78,880
1,130.05,10.65,20.55,18,98,20.45,20.43,0.29,10.44,40.25,10.12,20.51,1105
1,130.07,10.5,20.1,150.5,98,20.4,20.64,0.28,10.37,30.7,10.18,20.69,1020
1,140.22,30.99,20.51,130.2,128,3,30.04,0.2,20.08,50.1,0.89,30.53,760
1,130.56,10.71,20.31,160.2,117,30.15,30.29,0.34,20.34,60.13,0.95,30.38,795
1,130.41,30.84,20.12,180.8,90,20.45,20.68,0.27,10.48,40.28,0.91,3,1035
1,130.88,10.89,20.59,15,101,30.25,30.56,0.17,10.7,50.43,0.88,30.56,1095
1,130.24,30.98,20.29,170.5,103,20.64,20.63,0.32,10.66,40.36,0.82,3,680
1,130.05,10.77,20.1,17,107,3,3,0.28,20.03,50.04,0.88,30.35,885
1,140.21,40.04,20.44,180.9,111,20.85,20.65,0.3,10.25,50.24,0.87,30.33,1080
1,140.38,30.59,20.28,16,102,30.25,30.17,0.27,20.19,40.9,10.04,30.44,1065
1,130.9,10.68,20.12,16,101,30.1,30.39,0.21,20.14,60.1,0.91,30.33,985
1,140.1,20.02,20.4,180.8,103,20.75,20.92,0.32,20.38,60.2,10.07,20.75,1060
1,130.94,10.73,20.27,170.4,108,20.88,30.54,0.32,20.08,80.90,10.12,30.1,1260
1,130.05,10.73,20.04,120.4,92,20.72,30.27,0.17,20.91,70.2,10.12,20.91,1150
1,130.83,10.65,20.6,170.2,94,20.45,20.99,0.22,20.29,50.6,10.24,30.37,1265
1,130.82,10.75,20.42,14,111,30.88,30.74,0.32,10.87,70.05,10.01,30.26,1190
